Country,Value
Ukraine,74
China,9
Indonesia,26
Russia,91
China,11
Nigeria,71
Russia,18
Kazakhstan,89
France,100
El Salvador,40
Panama,4
Venezuela,47
Indonesia,100
Indonesia,84
China,86
Belize,97
China,85
Peru,45
China,85
United States,13
Peru,92
Norway,37
Serbia,47
South Africa,98
Croatia,75
Philippines,60
China,83
China,99
Pakistan,3
Belarus,60
Nigeria,79
Indonesia,90
Peru,79
Qatar,69
China,33
Aland Islands,12
Zimbabwe,52
Czech Republic,15
China,86
China,76
Russia,55
Russia,91
Brazil,54
Indonesia,43
China,78
Indonesia,64
France,47
Bosnia and Herzegovina,85
Belarus,95
Peru,9
Canada,45
Russia,33
Vietnam,51
Japan,90
China,9
Netherlands,17
Mauritius,60
Portugal,42
Poland,45
Guatemala,44
Tunisia,77
Tajikistan,69
Philippines,32
Dominica,1
Brazil,42
Philippines,17
Indonesia,65
Japan,90
China,55
Iran,41
China,54
Cuba,41
Mexico,78
Czech Republic,59
Czech Republic,57
Indonesia,54
Philippines,43
Colombia,66
Poland,83
Armenia,71
China,12
Thailand,73
Norway,6
Belgium,2
Indonesia,4
China,10
Indonesia,95
China,75
Indonesia,98
Indonesia,29
Portugal,33
South Africa,16
Lithuania,19
Poland,63
Brazil,68
Cuba,61
Poland,85
China,3
Norway,60
Comoros,43
China,16
China,96
Philippines,18
Indonesia,77
Honduras,99
Honduras,59
Brazil,55
Sweden,84
Sweden,7
China,6
Azerbaijan,95
China,71
Peru,11
China,20
Syria,85
Poland,70
Philippines,31
Poland,33
South Africa,83
China,12
Indonesia,30
Russia,27
Indonesia,91
Argentina,73
Nicaragua,7
Zimbabwe,59
Russia,76
Haiti,20
Czech Republic,60
Indonesia,29
Argentina,19
Macedonia,11
Micronesia,99
Luxembourg,56
Tunisia,35
Kazakhstan,52
Russia,19
Portugal,2
Peru,71
Yemen,38
Finland,97
China,81
Argentina,50
China,70
Hungary,46
Indonesia,60
Thailand,26
Sweden,4
Russia,40
Canada,29
Thailand,47
Ukraine,58
China,61
Brazil,15
Indonesia,29
Vietnam,83
China,31
Greece,60
Indonesia,86
Portugal,55
Russia,28
Philippines,21
Philippines,98
Sudan,38
Tanzania,22
Poland,90
Liberia,4
Czech Republic,25
United States,27
Indonesia,78
Poland,38
Russia,45
United States,47
Brazil,52
Iran,56
Indonesia,21
Colombia,59
China,28
Brazil,61
Argentina,75
Afghanistan,67
Vietnam,66
Poland,94
Portugal,83
Azerbaijan,59
China,29
France,83
Ireland,99
Iran,57
Philippines,24
Japan,68
Venezuela,55
China,74
China,52
Mexico,31
Ethiopia,90
France,6
Philippines,24
China,43
China,2
China,23
China,5
Indonesia,67
Iran,23
Canada,81
China,77
Greece,60
Brazil,68
Israel,59
Cuba,31
Somalia,31
Indonesia,77
China,75
Vietnam,51
Philippines,94
Brazil,61
Norway,20
France,64
Philippines,57
Colombia,48
Russia,75
Philippines,25
Bhutan,22
Indonesia,15
United States,87
Colombia,21
Poland,71
Brazil,30
Russia,70
China,91
China,88
China,57
Mozambique,29
Tanzania,25
Tanzania,68
Yemen,74
Ukraine,74
China,28
China,69
Indonesia,86
Burkina Faso,29
Indonesia,10
Brazil,8
Guyana,100
Malaysia,34
Indonesia,47
United States,17
China,14
Palestinian Territory,40
Philippines,68
Portugal,96
Indonesia,67
Peru,80
Indonesia,20
Papua New Guinea,11
Peru,57
Argentina,78
Panama,39
France,41
Brazil,8
Mexico,90
Japan,45
Ukraine,54
Solomon Islands,48
Peru,54
Poland,74
Cuba,66
Pakistan,29
Sudan,68
China,99
Mauritius,53
Indonesia,42
China,18
Indonesia,51
Colombia,19
Indonesia,98
Indonesia,75
Czech Republic,7
Indonesia,50
Portugal,7
Nigeria,98
China,36
Lithuania,76
Brazil,32
Indonesia,54
Sweden,8
United States,29
Thailand,72
Saudi Arabia,17
Brazil,93
Uganda,99
Albania,2
Sweden,54
Colombia,62
Sweden,51
Indonesia,89
China,29
France,89
Russia,72
Guatemala,74
Indonesia,60
Czech Republic,83
Macedonia,66
China,61
Indonesia,44
Pakistan,45
China,25
Philippines,98
Philippines,83
Czech Republic,53
Kuwait,65
United States,48
Vietnam,43
Indonesia,56
Bangladesh,72
Japan,35
Argentina,10
China,22
Macedonia,72
China,99
Madagascar,43
Poland,66
Canada,93
Ukraine,67
Nigeria,50
Indonesia,33
Morocco,69
Cape Verde,8
Norway,55
Indonesia,17
Sweden,75
Cuba,50
Nepal,75
Czech Republic,42
Portugal,88
Philippines,64
China,11
Spain,11
Ukraine,36
Belarus,9
Brazil,17
Brazil,15
Indonesia,13
Philippines,31
Argentina,87
Russia,25
Indonesia,16
China,49
China,49
Chad,7
Indonesia,62
Czech Republic,8
Greece,70
Nigeria,12
China,7
Greece,76
China,44
France,67
China,38
China,81
Pakistan,20
Peru,74
Morocco,25
China,49
China,15
Portugal,5
Japan,54
Peru,38
Niger,58
China,42
Philippines,49
Ireland,72
Poland,83
Bangladesh,33
Poland,54
Russia,29
Ivory Coast,100
Honduras,75
Philippines,9
Indonesia,83
China,69
Portugal,91
Russia,34
Indonesia,19
Greece,16
Spain,4
China,53
China,96
Afghanistan,11
China,89
China,97
Indonesia,13
United States,80
Ukraine,36
China,96
Russia,42
Ukraine,39
Morocco,39
Portugal,26
Japan,84
France,6
Russia,83
Peru,3
United States,35
Estonia,48
China,23
Indonesia,95
Moldova,81
Greece,27
Peru,31
Japan,96
Argentina,19
Brazil,61
Chile,7
Macedonia,65
Greece,44
Colombia,82
China,80
Chile,2
Thailand,37
Ecuador,44
Mongolia,67
Portugal,55
France,64
Sweden,94
China,81
Russia,48
China,72
Tanzania,41
Ecuador,60
Colombia,13
Cameroon,24
Nigeria,60
